t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update
169,random,simple,A,0.8,0.8044605902417177,1428.8136952928196,1.0,1,0,1.0,1428.8136952928196,0.0
170,random,simple,A,0.8,1.0,1690.4202807892239,1.0,1,0,1.0,1690.4202807892239,0.0
171,random,simple,A,0.8,1.0,1859.4250544237289,1.0,1,0,1.0,1859.4250544237289,0.0
172,random,simple,B,0.95,0.8996953599999999,578.4702329283873,0.1,1,0,0.1,578.4702329283873,0.0
173,random,simple,B,0.95,1.0,699.3511939903051,0.1,1,0,0.1,699.3511939903051,0.0
174,random,simple,B,0.95,1.0,738.6171601012102,0.1,1,0,0.1,738.6171601012102,0.0
175,random,simple,B,0.95,1.0,874.5846227943379,0.1,1,0,0.1,874.5846227943379,0.0
176,random,simple,D,0.85,0.45447171794170105,468.79657103625294,0.22,1,0,0.22,468.79657103625294,0.0
177,random,simple,D,0.85,0.6999351117886969,624.8277767144268,0.22,1,0,0.22,624.8277767144268,0.0
178,random,hard,E,0.9,0.32878459132067694,786.3203248302284,0.6,1,0,0.6,786.3203248302284,0.0
179,random,simple,A,0.8,0.6596345248055295,1263.4809329486625,1.0,1,0,1.0,1263.4809329486625,0.0
180,random,simple,A,0.8,0.880478381828866,1340.4112530761868,1.0,1,0,1.0,1340.4112530761868,0.0
181,random,simple,D,0.85,0.7197478388407629,640.879538251736,0.22,0,0,0.22,640.879538251736,0.0
182,random,simple,B,0.95,0.70867559636992,579.2917238966414,0.1,1,0,0.1,579.2917238966414,0.0
183,random,simple,A,0.8,0.900021363821681,1600.8861007720943,1.0,1,0,1.0,1600.8861007720943,0.0
184,random,simple,A,0.8,1.0,1568.9111303286695,1.0,1,0,1.0,1568.9111303286695,0.0
185,random,hard,E,0.9,0.4343662389352181,879.4252756369725,0.6,1,0,0.6,879.4252756369725,0.0
186,random,hard,C,0.75,0.3050911425796524,560.6776345959449,0.35,0,0,0.35,560.6776345959449,0.0
187,random,simple,A,0.8,0.9814719999999999,1663.8549940526611,1.0,1,0,1.0,1663.8549940526611,0.0
188,random,simple,D,0.85,0.5941433772742098,510.1008401637585,0.22,1,0,0.22,510.1008401637585,0.0
189,random,simple,B,0.95,0.5896184219792857,474.02774093243835,0.1,1,0,0.1,474.02774093243835,0.0
190,random,simple,A,0.8,0.9688456867839998,1563.9804547748759,1.0,1,0,1.0,1563.9804547748759,0.0
191,random,simple,B,0.95,0.7566005059807588,550.1642587668904,0.1,1,0,0.1,550.1642587668904,0.0
192,random,simple,D,0.85,0.656305026526073,646.5501612536256,0.22,1,0,0.22,646.5501612536256,0.0
193,random,simple,D,0.85,0.8775484233429443,650.4891400409759,0.22,1,0,0.22,650.4891400409759,0.0
194,random,simple,A,0.8,0.881012262920378,1633.632035057937,1.0,1,0,1.0,1633.632035057937,0.0
195,random,simple,B,0.95,0.7537298128103134,417.4685320766347,0.1,1,0,0.1,417.4685320766347,0.0
196,random,hard,A,0.95,0.9822558964055408,1820.0952014072066,1.0,1,0,1.0,1820.0952014072066,0.0
197,random,simple,A,0.8,1.0,1836.8639384758806,1.0,1,0,1.0,1836.8639384758806,0.0
198,random,hard,C,0.75,0.3657993593511109,612.8871137787607,0.35,1,0,0.35,612.8871137787607,0.0
199,random,simple,D,0.85,0.7075370741513191,649.7422260734803,0.22,1,0,0.22,649.7422260734803,0.0
200,random,simple,A,0.8,0.9814719999999999,1517.7870644555476,1.0,0,0,1.0,1517.7870644555476,0.0
201,random,simple,A,0.8,1.0,2023.3538998585739,1.0,1,0,1.0,2023.3538998585739,0.0
202,random,hard,A,0.95,1.0,1906.8959355685042,1.0,1,0,1.0,1906.8959355685042,0.0
203,random,simple,B,0.95,0.5710672630617979,446.1373172611976,0.1,1,0,0.1,446.1373172611976,0.0
204,random,simple,A,0.8,1.0,1714.0486538317996,1.0,1,0,1.0,1714.0486538317996,0.0
205,random,simple,B,0.95,0.7422344885150562,514.5873838291093,0.1,1,0,0.1,514.5873838291093,0.0
206,random,hard,A,0.95,1.0,1636.7260337139667,1.0,1,0,1.0,1636.7260337139667,0.0
207,random,simple,A,0.8,1.0,1593.3362758446274,1.0,1,0,1.0,1593.3362758446274,0.0
208,random,simple,B,0.95,0.8058120213573325,531.9034408192229,0.1,1,0,0.1,531.9034408192229,0.0
209,random,simple,D,0.85,0.4970497657139791,491.18140886453796,0.22,1,0,0.22,491.18140886453796,0.0
210,random,simple,A,0.8,0.9814719999999999,1627.7229424831758,1.0,1,0,1.0,1627.7229424831758,0.0
211,random,hard,C,0.75,0.3694252861544744,577.0797021712115,0.35,0,0,0.35,577.0797021712115,0.0
212,random,simple,D,0.85,0.6387254979406367,690.9601910174772,0.22,1,0,0.22,690.9601910174772,0.0
213,random,hard,C,0.75,0.586082941598025,784.177216897913,0.35,1,0,0.35,784.177216897913,0.0
214,random,simple,A,0.8,0.8885842043699199,1565.2996650324271,1.0,1,0,1.0,1565.2996650324271,0.0
215,random,simple,D,0.85,0.7352735425326016,590.5473741233125,0.22,1,0,0.22,590.5473741233125,0.0
216,random,simple,B,0.95,0.5897978233834276,404.2922548058263,0.1,1,0,0.1,404.2922548058263,0.0
217,random,simple,B,0.95,0.8190220845774163,580.1514381490276,0.1,1,0,0.1,580.1514381490276,0.0
218,random,simple,A,0.8,0.8328798243299327,1458.515842805029,1.0,1,0,1.0,1458.515842805029,0.0
219,random,simple,A,0.8,1.0,1819.489144969236,1.0,1,0,1.0,1819.489144969236,0.0
220,random,simple,D,0.85,0.6880273159730561,561.1539358183992,0.22,1,0,0.22,561.1539358183992,0.0
221,random,simple,B,0.95,0.7911637438586041,609.6295244458406,0.1,1,0,0.1,609.6295244458406,0.0
222,random,simple,B,0.95,0.9962240945955716,579.3009079399213,0.1,1,0,0.1,579.3009079399213,0.0
223,random,simple,D,0.85,0.7688713510707904,568.2060013841468,0.22,1,0,0.22,568.2060013841468,0.0
224,random,simple,A,0.8,0.8277319167999999,1481.0399136887672,1.0,1,0,1.0,1481.0399136887672,0.0
225,random,simple,B,0.95,0.9788988261922333,620.8909436235193,0.1,1,0,0.1,620.8909436235193,0.0
226,random,simple,B,0.95,1.0,701.6936008401716,0.1,1,0,0.1,701.6936008401716,0.0
227,random,hard,A,0.95,0.8640761248055295,1524.5806063553932,1.0,1,0,1.0,1524.5806063553932,0.0
228,random,hard,C,0.75,0.3861388686317763,630.1634747493706,0.35,1,0,0.35,630.1634747493706,0.0
229,random,simple,B,0.95,0.9814719999999999,677.2665752987581,0.1,1,0,0.1,677.2665752987581,0.0
230,random,simple,B,0.95,1.0,694.7257712272844,0.1,1,0,0.1,694.7257712272844,0.0
231,random,simple,B,0.95,1.0,749.549351877199,0.1,1,0,0.1,749.549351877199,0.0
232,random,hard,C,0.75,0.5315656878341258,742.342252891186,0.35,0,0,0.35,742.342252891186,0.0
233,random,simple,A,0.8,0.7012804836521696,1595.6058319112476,1.0,1,0,1.0,1595.6058319112476,0.0
234,random,hard,A,0.95,0.9171268256139091,1606.192236912267,1.0,1,0,1.0,1606.192236912267,0.0
235,random,simple,D,0.85,0.46582337296361487,503.94533702808366,0.22,1,0,0.22,503.94533702808366,0.0
236,random,simple,B,0.95,0.8277319167999999,656.0621408147783,0.1,1,0,0.1,656.0621408147783,0.0
237,random,simple,A,0.8,0.9249962521047619,1521.4868728483307,1.0,0,0,1.0,1521.4868728483307,0.0
238,random,simple,B,0.95,0.9409955963699199,603.288701044126,0.1,1,0,0.1,603.288701044126,0.0
239,random,simple,A,0.8,1.0,1823.8469009157195,1.0,1,0,1.0,1823.8469009157195,0.0
240,random,simple,D,0.85,0.5458298615043298,599.6936001380354,0.22,1,0,0.22,599.6936001380354,0.0
241,random,simple,B,0.95,0.9412621510494019,601.866764951442,0.1,1,0,0.1,601.866764951442,0.0
242,random,simple,A,0.8,0.9814719999999999,1533.451952999018,1.0,1,0,1.0,1533.451952999018,0.0
243,random,simple,B,0.95,1.0,713.1031358746844,0.1,1,0,0.1,713.1031358746844,0.0
244,random,simple,D,0.85,0.6273316352935892,550.5005051858873,0.22,1,0,0.22,550.5005051858873,0.0
245,random,simple,A,0.8,0.9688456867839998,1656.3997556108477,1.0,1,0,1.0,1656.3997556108477,0.0
246,random,simple,D,0.85,0.7858056183713553,710.674877939077,0.22,1,0,0.22,710.674877939077,0.0
247,random,simple,D,0.85,0.9915089441667926,641.2405666100633,0.22,1,0,0.22,641.2405666100633,0.0
248,random,simple,D,0.85,1.0,814.6641590225295,0.22,1,0,0.22,814.6641590225295,0.0
249,random,hard,E,0.9,0.3001215477936864,738.9010942076951,0.6,1,0,0.6,738.9010942076951,0.0
250,random,simple,B,0.95,0.70867559636992,492.06157514237765,0.1,1,0,0.1,492.06157514237765,0.0
251,random,hard,A,0.95,0.7499358964055407,1457.3753431402622,1.0,1,0,1.0,1457.3753431402622,0.0
252,random,simple,A,0.8,0.9599435888368759,1471.2738845971953,1.0,1,0,1.0,1471.2738845971953,0.0
253,random,simple,D,0.85,0.8277319167999999,647.9584581368902,0.22,1,0,0.22,647.9584581368902,0.0
254,random,simple,D,0.85,1.0,865.4601970393563,0.22,1,0,0.22,865.4601970393563,0.0
255,random,simple,A,0.8,0.9541746773718436,1485.651321302058,1.0,1,0,1.0,1485.651321302058,0.0
256,random,hard,C,0.75,0.32472527162854753,575.2160692177321,0.35,1,0,0.35,575.2160692177321,0.0
257,random,hard,E,0.9,0.4079340702246824,871.9696631390641,0.6,1,0,0.6,871.9696631390641,0.0
258,random,simple,A,0.8,0.950243325737945,1686.509851754212,1.0,1,0,1.0,1686.509851754212,0.0
259,random,simple,A,0.8,1.0,1804.0235212465655,1.0,1,0,1.0,1804.0235212465655,0.0
260,random,simple,A,0.8,1.0,2083.644135959866,1.0,1,0,1.0,2083.644135959866,0.0
261,random,simple,B,0.95,0.47368282383149973,459.1283565388588,0.1,1,0,0.1,459.1283565388588,0.0
262,random,simple,A,0.8,1.0,1569.8848056472386,1.0,1,0,1.0,1569.8848056472386,0.0
263,random,simple,A,0.8,1.0,1713.1373459032045,1.0,1,0,1.0,1713.1373459032045,0.0
264,random,simple,B,0.95,0.6228015813220997,462.93547067987845,0.1,0,0,0.1,462.93547067987845,0.0
265,random,simple,D,0.85,0.5450808588882738,514.2588884112156,0.22,1,0,0.22,514.2588884112156,0.0
266,random,hard,A,0.95,0.9814719999999999,1658.1298916088156,1.0,1,0,1.0,1658.1298916088156,0.0
267,random,simple,A,0.8,1.0,1709.018406799621,1.0,1,0,1.0,1709.018406799621,0.0
268,random,simple,D,0.85,0.6714573430683097,700.0952197106021,0.22,1,0,0.22,700.0952197106021,0.0
269,random,simple,A,0.8,1.0,1836.8896864866565,1.0,1,0,1.0,1836.8896864866565,0.0
270,random,hard,A,0.95,1.0,1979.6526630418675,1.0,1,0,1.0,1979.6526630418675,0.0
271,random,simple,A,0.8,1.0,2073.671993314442,1.0,1,0,1.0,2073.671993314442,0.0
272,random,hard,A,0.95,1.0,1792.3146227821048,1.0,1,0,1.0,1792.3146227821048,0.0
273,random,simple,B,0.95,0.49710323665727707,440.8062599824662,0.1,1,0,0.1,440.8062599824662,0.0
274,random,simple,B,0.95,0.7374508482584038,539.3908768311389,0.1,1,0,0.1,539.3908768311389,0.0
275,random,simple,B,0.95,0.9489567464673954,659.9919697535464,0.1,1,0,0.1,659.9919697535464,0.0
276,random,hard,E,0.9,0.33595512057593613,836.6417617212926,0.6,1,0,0.6,836.6417617212926,0.0
277,random,simple,A,0.8,0.8277319167999999,1529.8174481675803,1.0,1,0,1.0,1529.8174481675803,0.0
278,random,simple,B,0.95,0.9466874519286288,571.8305403671982,0.1,1,0,0.1,571.8305403671982,0.0
279,random,simple,D,0.85,0.46456134234601976,498.8728748883544,0.22,1,0,0.22,498.8728748883544,0.0
280,random,simple,D,0.85,0.7088139812644974,614.0925299877556,0.22,1,0,0.22,614.0925299877556,0.0
281,random,simple,B,0.95,0.9451409912407065,617.8306627202999,0.1,1,0,0.1,617.8306627202999,0.0
282,random,hard,C,0.75,0.3116967596157313,519.0212553338254,0.35,1,0,0.35,519.0212553338254,0.0
283,random,simple,B,0.95,1.0,671.0311530816294,0.1,1,0,0.1,671.0311530816294,0.0
284,random,simple,B,0.95,1.0,731.5984574852287,0.1,1,0,0.1,731.5984574852287,0.0
285,random,hard,A,0.95,0.5976809745647381,1179.425142779335,1.0,1,0,1.0,1179.425142779335,0.0
286,random,simple,D,0.85,0.6291761096688702,533.6737420253722,0.22,1,0,0.22,533.6737420253722,0.0
287,random,hard,A,0.95,0.7628441467029332,1267.593850253264,1.0,1,0,1.0,1267.593850253264,0.0
